M,jammer,tier,strategy,avoidance,avoidance_sd,throughput,throughput_sd
10,constant,low,crypto,0.9080000000000003,2.2584051416334807e-16,0.9080000000000003,2.2584051416334807e-16
10,constant,low,random,0.8651999999999999,0.002759310258642237,0.8651999999999999,0.002759310258642237
10,constant,low,fixed,0.0,0.0,0.0,0.0
10,constant,low,dsss,1.0,0.0,1.0,0.0
10,constant,low,uss,0.8981333333333333,0.013286584712909997,0.44906666666666667,0.006643292356454999
10,random,low,crypto,0.901,0.013429252681598006,0.901,0.013429252681598006
10,random,low,random,0.9006666666666667,0.010561260809442103,0.9006666666666667,0.010561260809442103
10,random,low,fixed,0.9008666666666667,0.012447775963471625,0.9008666666666667,0.012447775963471625
10,random,low,dsss,1.0,0.0,1.0,0.0
10,random,low,uss,0.8976666666666667,0.013204840631069893,0.44883333333333336,0.006602420315534947
10,pulsed,low,crypto,0.9439999999999997,2.2584051416334807e-16,0.9439999999999997,2.2584051416334807e-16
10,pulsed,low,random,0.9323333333333333,0.008930124659643945,0.9323333333333333,0.008930124659643945
10,pulsed,low,fixed,0.5,0.0,0.5,0.0
10,pulsed,low,dsss,1.0,0.0,1.0,0.0
10,pulsed,low,uss,0.95,0.008678153307448887,0.475,0.004339076653724443
10,sweep,mid,crypto,0.8960000000000002,2.2584051416334807e-16,0.8960000000000002,2.2584051416334807e-16
10,sweep,mid,random,0.8999333333333333,0.011913288243873287,0.8999333333333333,0.011913288243873287
10,sweep,mid,fixed,0.8999999999999998,2.2584051416334807e-16,0.8999999999999998,2.2584051416334807e-16
10,sweep,mid,dsss,1.0,0.0,1.0,0.0
10,sweep,mid,uss,0.8976,0.01309277242050639,0.4488,0.006546386210253195
10,comb,mid,crypto,0.5039999999999999,1.1292025708167404e-16,0.5039999999999999,1.1292025708167404e-16
10,comb,mid,random,0.49973333333333325,0.0011426929274467328,0.49973333333333325,0.0011426929274467328
10,comb,mid,fixed,0.0,0.0,0.0,0.0
10,comb,mid,dsss,1.0,0.0,0.7575757575757517,2.2584051416334807e-16
10,comb,mid,uss,0.5012000000000001,0.020907678840147683,0.25060000000000004,0.010453839420073842
10,partial_band,mid,crypto,0.6840000000000003,2.2584051416334807e-16,0.6840000000000003,2.2584051416334807e-16
10,partial_band,mid,random,0.6768666666666666,0.0022086559079087533,0.6768666666666666,0.0022086559079087533
10,partial_band,mid,fixed,0.0,0.0,0.0,0.0
10,partial_band,mid,dsss,1.0,0.0,1.0,0.0
10,partial_band,mid,uss,0.6972666666666665,0.024077365724470032,0.34863333333333324,0.012038682862235016
10,reactive,top,crypto,0.6999999999999997,2.2584051416334807e-16,0.6999999999999997,2.2584051416334807e-16
10,reactive,top,random,0.6780666666666665,0.001928610958665605,0.6780666666666665,0.001928610958665605
10,reactive,top,fixed,0.0020000000000000005,4.410947542252892e-19,0.0020000000000000005,4.410947542252892e-19
10,reactive,top,dsss,1.0,0.0,1.0,0.0
10,reactive,top,uss,0.7017333333333331,0.02020401689888855,0.35086666666666655,0.010102008449444274
10,learning,top,crypto,0.9140000000000003,2.2584051416334807e-16,0.9140000000000003,2.2584051416334807e-16
10,learning,top,random,0.0,0.0,0.0,0.0
10,learning,top,fixed,0.0,0.0,0.0,0.0
10,learning,top,dsss,1.0,0.0,1.0,0.0
10,learning,top,uss,0.901,0.011729714698003187,0.4505,0.0058648573490015935
10,smart_partial,top,crypto,0.6960000000000003,3.387607712450221e-16,0.6960000000000003,3.387607712450221e-16
10,smart_partial,top,random,0.6909333333333333,0.013001149374477255,0.6909333333333333,0.013001149374477255
10,smart_partial,top,fixed,0.0,0.0,0.0,0.0
10,smart_partial,top,dsss,1.0,0.0,1.0,0.0
10,smart_partial,top,uss,0.6928000000000002,0.02257615464645582,0.3464000000000001,0.01128807732322791
100,constant,low,crypto,0.9899999999999997,3.387607712450221e-16,0.9899999999999997,3.387607712450221e-16
100,constant,low,random,0.9879333333333332,0.000365148371670111,0.9879333333333332,0.000365148371670111
100,constant,low,fixed,0.0,0.0,0.0,0.0
100,constant,low,dsss,1.0,0.0,1.0,0.0
100,constant,low,uss,0.9896666666666667,0.005012627732198875,0.49483333333333335,0.0025063138660994374
100,random,low,crypto,0.9927333333333332,0.00447162188683822,0.9927333333333332,0.00447162188683822
100,random,low,random,0.9898,0.004436525512232482,0.9898,0.004436525512232482
100,random,low,fixed,0.9912666666666666,0.004016632088371222,0.9912666666666666,0.004016632088371222
100,random,low,dsss,1.0,0.0,1.0,0.0
100,random,low,uss,0.9908666666666667,0.004352829704546416,0.49543333333333334,0.002176414852273208
100,pulsed,low,crypto,0.9920000000000002,2.2584051416334807e-16,0.9920000000000002,2.2584051416334807e-16
100,pulsed,low,random,0.9940666666666667,0.00280311813243178,0.9940666666666667,0.00280311813243178
100,pulsed,low,fixed,0.5,0.0,0.5,0.0
100,pulsed,low,dsss,1.0,0.0,1.0,0.0
100,pulsed,low,uss,0.9958000000000001,0.0027467849544889583,0.49790000000000006,0.0013733924772444792
100,sweep,mid,crypto,0.9879999999999999,1.1292025708167404e-16,0.9879999999999999,1.1292025708167404e-16
100,sweep,mid,random,0.9893333333333333,0.005416025603090645,0.9893333333333333,0.005416025603090645
100,sweep,mid,fixed,0.9899999999999997,3.387607712450221e-16,0.9899999999999997,3.387607712450221e-16
100,sweep,mid,dsss,1.0,0.0,1.0,0.0
100,sweep,mid,uss,0.9897333333333332,0.0049475408961968444,0.4948666666666666,0.0024737704480984222
100,comb,mid,crypto,0.968,0.0,0.968,0.0
100,comb,mid,random,0.9559999999999998,0.0005252257314388907,0.9559999999999998,0.0005252257314388907
100,comb,mid,fixed,0.0,0.0,0.0,0.0
100,comb,mid,dsss,1.0,0.0,1.0,0.0
100,comb,mid,uss,0.9504666666666667,0.011125408425926573,0.47523333333333334,0.005562704212963287
100,partial_band,mid,crypto,0.7220000000000002,2.2584051416334807e-16,0.7220000000000002,2.2584051416334807e-16
100,partial_band,mid,random,0.6768666666666666,0.0022086559079087533,0.6768666666666666,0.0022086559079087533
100,partial_band,mid,fixed,0.0,0.0,0.0,0.0
100,partial_band,mid,dsss,1.0,0.0,1.0,0.0
100,partial_band,mid,uss,0.6972666666666665,0.024077365724470032,0.34863333333333324,0.012038682862235016
100,reactive,top,crypto,0.9699999999999999,1.1292025708167404e-16,0.9699999999999999,1.1292025708167404e-16
100,reactive,top,random,0.969333333333333,0.000958926602970769,0.969333333333333,0.000958926602970769
100,reactive,top,fixed,0.0020000000000000005,4.410947542252892e-19,0.0020000000000000005,4.410947542252892e-19
100,reactive,top,dsss,1.0,0.0,1.0,0.0
100,reactive,top,uss,0.9713999999999999,0.008206809619939477,0.48569999999999997,0.004103404809969739
100,learning,top,crypto,0.9920000000000002,2.2584051416334807e-16,0.9920000000000002,2.2584051416334807e-16
100,learning,top,random,0.0,0.0,0.0,0.0
100,learning,top,fixed,0.0,0.0,0.0,0.0
100,learning,top,dsss,1.0,0.0,1.0,0.0
100,learning,top,uss,0.9894666666666666,0.0046366853003749,0.4947333333333333,0.00231834265018745
100,smart_partial,top,crypto,0.7040000000000002,2.2584051416334807e-16,0.7040000000000002,2.2584051416334807e-16
100,smart_partial,top,random,0.6968666666666665,0.007713549803735792,0.6968666666666665,0.007713549803735792
100,smart_partial,top,fixed,0.0,0.0,0.0,0.0
100,smart_partial,top,dsss,1.0,0.0,1.0,0.0
100,smart_partial,top,uss,0.6959333333333331,0.02194339635694894,0.34796666666666654,0.01097169817847447
1000,constant,low,crypto,0.9980000000000001,1.1292025708167404e-16,0.9980000000000001,1.1292025708167404e-16
1000,constant,low,random,1.0,0.0,1.0,0.0
