snr_db,condition,sigma_r_m,rmse_m,median_m,cep95_m,crlb_m,efficiency
0,LOS,5.8436805134145295,93.33601165061944,55.05952927980587,184.65383565777293,84.84798878958932,0.9090595075692439
0,NLOS,5.8436805134145295,419.47753312887795,184.5992031025042,657.7547928916819,84.6206843968617,0.2017287642693925
0,NLOS+mitigation,5.8436805134145295,518.2137645442639,135.38679050337277,642.9619965828092,82.7083792121615,0.1596028219838936
5,LOS,3.2861430439025465,51.43429663938063,30.93824343196732,107.26970093445536,47.0790444136636,0.915323966491603
5,NLOS,3.2861430439025465,675.7224490291612,144.12845283819246,656.0794883783859,47.08505588448482,0.0696810590681631
5,NLOS+mitigation,3.2861430439025465,577.2742732014066,110.55251785900741,736.7013235272323,46.738907140238624,0.08096481916825657
10,LOS,1.8479340340732053,26.758330916428363,17.55507369550164,53.718069948745395,26.56663951588494,0.9928361974017694
10,NLOS,1.8479340340732053,454.7255243468935,138.44704171111448,530.0638625377796,25.94937871343502,0.05706602625991847
10,NLOS+mitigation,1.8479340340732053,712.4696242598529,67.81257122643547,729.1523785363586,26.23236559551617,0.0368189249089287
15,LOS,1.039169673585074,15.19749871265191,9.708502423709843,31.232800290818975,14.722663283403156,0.9687556855093888
15,NLOS,1.039169673585074,518.3060944571857,154.93144737369659,618.4420246782643,14.715819064552253,0.0283921397450746
15,NLOS+mitigation,1.039169673585074,371.2844152433834,42.89645847567899,515.3778665608038,14.80579870713971,0.03987724261853073
20,LOS,0.5843680513414529,7.767362448231735,4.829476082830473,15.937132841374519,8.196846846600511,1.0552934668919114
20,NLOS,0.5843680513414529,772.6482499058909,133.19194523896118,698.713558234898,8.401521910977161,0.010873669761111182
20,NLOS+mitigation,0.5843680513414529,490.42853830553366,33.26982595093606,606.2095813379367,8.346107143081499,0.017017988333056448
25,LOS,0.3286143043902546,4.779607397460983,2.7960438160172743,10.117535323952767,4.615945370002086,0.9657582696968297
25,NLOS,0.3286143043902546,488.7511671523263,144.07502422795773,579.2573204007563,4.661428152291906,0.009537426129233376
25,NLOS+mitigation,0.3286143043902546,421.25567089727286,18.798769712581667,645.296568881456,4.711718391804413,0.011184937598035113
30,LOS,0.18479340340732053,2.722981607956297,1.6091782397629855,5.682127307577439,2.6416552209837714,0.9701333322506117
30,NLOS,0.18479340340732053,691.2166149410743,147.66643410949018,592.7177918750356,2.5863390486520377,0.0037417200234292993
30,NLOS+mitigation,0.18479340340732053,468.77791160258863,7.398232295483533,508.38918307121406,2.6340537102050474,0.005618980000999053
